PdfType: central
Format: lhagrid1
---
1.000000e-05 2.000000e-05 4.000000e-05 6.000000e-05 8.000000e-05 1.000000e-04 2.000000e-04 4.000000e-04 6.000000e-04 8.000000e-04 1.000000e-03 2.000000e-03 4.000000e-03 6.000000e-03 8.000000e-03 1.000000e-02 1.400000e-02 2.000000e-02 3.000000e-02 4.000000e-02 6.000000e-02 8.000000e-02 1.000000e-01 1.250000e-01 1.500000e-01 1.750000e-01 2.000000e-01 2.250000e-01 2.500000e-01 2.750000e-01 3.000000e-01 3.250000e-01 3.500000e-01 3.750000e-01 4.000000e-01 4.250000e-01 4.500000e-01 4.750000e-01 5.000000e-01 5.250000e-01 5.500000e-01 5.750000e-01 6.000000e-01 6.500000e-01 7.000000e-01 7.500000e-01 8.000000e-01 9.000000e-01 1.000000e+00
1.118034e+00 1.224745e+00 1.414214e+00 1.581139e+00 1.788854e+00 2.000000e+00 2.236068e+00 2.529822e+00 2.828427e+00 3.162278e+00 3.464102e+00 4.242641e+00 5.099020e+00 6.324555e+00 8.000000e+00 1.000000e+01 1.264911e+01 1.549193e+01 2.000000e+01 2.529822e+01 3.162278e+01 4.242641e+01 5.656854e+01 7.483315e+01 1.000000e+02 1.341641e+02 1.788854e+02 2.366432e+02 3.162278e+02 4.242641e+02 5.656854e+02 7.483315e+02 1.000000e+03 1.341641e+03 1.788854e+03 2.366432e+03 3.162278e+03
-5 -4 -3 -2 -1 1 2 3 4 5 21
0.00000000e+00 0.00000000e+00 4.32560000e-01 8.31580000e-01 8.31580000e-01 8.42390000e-01 8.55240000e-01 4.32560000e-01 0.00000000e+00 0.00000000e+00 9.07020000e+00
0.00000000e+00 0.00000000e+00 4.67030000e-01 8.63480000e-01 8.63480000e-01 8.74430000e-01 8.87310000e-01 4.67030000e-01 0.00000000e+00 0.00000000e+00 1.24834100e+01
0.00000000e+00 0.00000000e+00 5.39380000e-01 9.32100000e-01 9.32100000e-01 9.43250000e-01 9.56180000e-01 5.39380000e-01 0.00000000e+00 0.00000000e+00 1.86561900e+01
0.00000000e+00 6.54200000e-02 6.10320000e-01 1.00041000e+00 1.00041000e+00 1.01170000e+00 1.02467000e+00 6.10320000e-01 6.54200000e-02 0.00000000e+00 2.39787300e+01
0.00000000e+00 1.62380000e-01 7.03560000e-01 1.09094000e+00 1.09094000e+00 1.10239000e+00 1.11539000e+00 7.03560000e-01 1.62380000e-01 0.00000000e+00 3.04245900e+01
0.00000000e+00 2.62810000e-01 8.00840000e-01 1.18593000e+00 1.18593000e+00 1.19751000e+00 1.21054000e+00 8.00840000e-01 2.62810000e-01 0.00000000e+00 3.67253100e+01
0.00000000e+00 3.75020000e-01 9.10080000e-01 1.29302000e+00 1.29302000e+00 1.30472000e+00 1.31778000e+00 9.10080000e-01 3.75020000e-01 0.00000000e+00 4.34403000e+01
0.00000000e+00 5.12450000e-01 1.04442000e+00 1.42510000e+00 1.42510000e+00 1.43694000e+00 1.45002000e+00 1.04442000e+00 5.12450000e-01 0.00000000e+00 5.13129900e+01
0.00000000e+00 6.48230000e-01 1.17756000e+00 1.55632000e+00 1.55632000e+00 1.56827000e+00 1.58138000e+00 1.17756000e+00 6.48230000e-01 0.00000000e+00 5.87974500e+01
0.00000000e+00 7.94670000e-01 1.32148000e+00 1.69841000e+00 1.69841000e+00 1.71048000e+00 1.72361000e+00 1.32148000e+00 7.94670000e-01 0.00000000e+00 6.66063400e+01
0.00000000e+00 9.21870000e-01 1.44672000e+00 1.82222000e+00 1.82222000e+00 1.83438000e+00 1.84753000e+00 1.44672000e+00 9.21870000e-01 0.00000000e+00 7.32073900e+01
0.00000000e+00 1.22802000e+00 1.74875000e+00 2.12126000e+00 2.12126000e+00 2.13360000e+00 2.14679000e+00 1.74875000e+00 1.22802000e+00 0.00000000e+00 8.85329900e+01
3.02360000e-01 1.53204000e+00 2.04929000e+00 2.41926000e+00 2.41927000e+00 2.43178000e+00 2.44499000e+00 2.04929000e+00 1.53204000e+00 3.02360000e-01 1.02753060e+02
7.00380000e-01 1.91842000e+00 2.43186000e+00 2.79906000e+00 2.79906000e+00 2.81175000e+00 2.82501000e+00 2.43186000e+00 1.91842000e+00 7.00380000e-01 1.20161880e+02
1.16843000e+00 2.37463000e+00 2.88419000e+00 3.24856000e+00 3.24857000e+00 3.26145000e+00 3.27473000e+00 2.88419000e+00 2.37463000e+00 1.16843000e+00 1.39979770e+02
1.64333000e+00 2.83902000e+00 3.34513000e+00 3.70700000e+00 3.70700000e+00 3.72005000e+00 3.73338000e+00 3.34513000e+00 2.83902000e+00 1.64333000e+00 1.59488590e+02
2.17334000e+00 3.35864000e+00 3.86133000e+00 4.22072000e+00 4.22073000e+00 4.23396000e+00 4.24730000e+00 3.86133000e+00 3.35864000e+00 2.17334000e+00 1.80662840e+02
2.65335000e+00 3.83018000e+00 4.33009000e+00 4.68746000e+00 4.68747000e+00 4.70084000e+00 4.71421000e+00 4.33009000e+00 3.83018000e+00 2.65335000e+00 1.99373900e+02
3.28610000e+00 4.45286000e+00 4.94945000e+00 5.30441000e+00 5.30442000e+00 5.31797000e+00 5.33137000e+00 4.94945000e+00 4.45286000e+00 3.28610000e+00 2.23454380e+02
3.89372000e+00 5.05172000e+00 5.54543000e+00 5.89830000e+00 5.89830000e+00 5.91201000e+00 5.92544000e+00 5.54543000e+00 5.05172000e+00 3.89372000e+00 2.46033660e+02
